duration,packet_count,byte_count,src_bytes,dst_bytes,syn_count,failed_connections,label
2.173,182,53932.2,18904.8,35027.5,54,3,Attack
1.114,38,23179.4,17141.6,6037.8,2,0,Normal
0.86,199,55467.6,19050.4,36417.2,67,3,Attack
4.305,55,32039.7,24645.8,7393.9,1,0,Normal
0.214,211,55250.7,15761.4,39489.3,69,6,Attack
0.255,188,65765.6,17221.9,48543.7,68,4,Attack
3.705,57,34146.8,16274.9,17871.9,8,2,Normal
1.138,225,80738.1,18846.5,61891.7,70,2,Attack
3.943,45,19998.4,14362.8,5635.6,4,1,Normal
2.029,200,30862.9,13185.5,17677.3,67,3,Attack
2.642,46,22187.2,11902.7,10284.5,4,0,Normal
1.075,202,75849.1,33468.9,42380.2,67,5,Attack
5.243,56,29255.5,18437.1,10818.4,3,0,Normal
7.864,38,18613.2,12097.4,6515.8,3,0,Normal
4.985,45,24553.1,10966.3,13586.7,4,0,Normal
2.915,39,18405.8,7304.8,11101.1,3,1,Normal
0.869,41,21041.2,14978.9,6062.3,6,0,Normal
2.054,50,25880.7,21003.3,4877.4,8,1,Normal
0.225,201,38311.6,8275.8,30035.8,82,4,Attack
0.273,202,32924.9,5347.4,27577.5,65,4,Attack
1.333,36,18095.9,14561.2,3534.7,3,1,Normal
0.853,214,8560.0,3668.8,4891.2,70,3,Attack
3.424,200,59746.5,22447.5,37299.0,69,1,Attack
8.766,48,28764.5,25760.4,3004.1,4,0,Normal
1.092,182,57055.0,25561.4,31493.6,65,4,Attack
3.212,44,25325.3,21986.7,3338.6,2,0,Normal
4.072,41,24874.6,18659.9,6214.8,3,1,Normal
0.382,45,18174.8,13071.4,5103.4,3,3,Normal
3.483,40,20950.3,11371.5,9578.8,1,1,Normal
0.452,42,21513.9,12404.0,9109.9,3,0,Normal
1.47,43,22233.7,8616.6,13617.2,5,0,Normal
5.201,45,25369.1,10094.9,15274.2,4,1,Normal
1.589,53,32329.7,14257.5,18072.2,2,1,Normal
4.045,45,28029.6,23668.7,4360.8,5,0,Normal
9.268,38,17578.8,9709.2,7869.6,3,2,Normal
1.406,42,23137.5,17496.4,5641.1,3,1,Normal
0.076,202,50242.0,20999.7,29242.3,59,4,Attack
1.267,190,90538.2,34757.1,55781.1,87,4,Attack
3.552,47,22333.1,13354.7,8978.3,3,1,Normal
1.35,49,21320.1,19077.9,2242.3,3,0,Normal
0.921,59,27525.9,22598.5,4927.4,3,0,Normal
0.818,185,40392.5,14296.0,26096.6,74,4,Attack
0.366,35,19526.3,17395.2,2131.1,1,1,Normal
1.86,46,20381.4,15377.7,5003.7,2,0,Normal
2.168,200,73555.1,19881.7,53673.4,76,2,Attack
4.257,38,19578.4,14791.4,4787.0,4,0,Normal
0.79,43,26307.0,18990.6,7316.4,4,0,Normal
5.661,45,22415.0,13764.6,8650.4,5,1,Normal
0.227,46,20617.5,18088.5,2529.0,2,3,Normal
0.93,183,66276.9,10725.4,55551.5,74,2,Attack
0.676,203,18638.5,4410.3,14228.2,70,2,Attack
3.884,51,28036.8,15992.1,12044.7,0,0,Normal
0.774,187,46620.7,11201.2,35419.5,71,2,Attack
2.683,48,28872.2,12615.9,16256.3,7,0,Normal
2.613,53,26958.9,14361.9,12596.9,2,0,Normal
0.803,173,66565.9,28738.1,37827.9,71,3,Attack
4.127,188,44022.1,18301.6,25720.5,70,3,Attack
3.675,167,51726.9,6580.1,45146.8,66,6,Attack
0.301,39,15969.5,11662.2,4307.3,3,0,Normal
2.114,42,26887.1,19988.4,6898.7,5,1,Normal
0.912,188,31574.6,9781.4,21793.3,66,2,Attack
3.516,42,23367.2,8880.1,14487.1,3,1,Normal
0.245,185,33414.8,6164.5,27250.3,64,4,Attack
1.594,39,22048.1,10934.8,11113.3,5,0,Normal
0.62,185,14620.8,1450.5,13170.2,62,5,Attack
0.467,207,69655.1,13491.1,56163.9,89,3,Attack
3.712,37,22277.2,7903.8,14373.4,4,0,Normal
